model;question;answer;similarity_score
intfloat/multilingual-e5-large-instruct;COVID-19 salgınının dünya çapındaki insanların yaşamları üzerindeki etkisini birkaç cümleyle açıklayın;Derin öğrenmeden doğal dil işlemeye kadar, yapay zeka (AI) birçok mobil uygulamaya giriyor. Tüketiciler, kullanıcı deneyimini iyileştiren ve üretkenliği optimize eden yapay zeka destekli özellikleri benimsiyor. Bu blog gönderisinde, yapay zekanın mobil uygulamaları nasıl iyileştirebileceğini ve işletmelerin neden yapay zekayı ürünlerine uygulamayı düşünmeleri gerektiğini keşfedeceğiz. Ayrıca mobil uygulamalarda yapay zeka ile ilgili zorluklara ve fırsatlara bakacağız ve yapılabilecek potansiyel iyileştirmeleri tartışacağız.;0.7310163
intfloat/multilingual-e5-large-instruct;-2'nin 5. kuvvetini bulun.;Liman foku, Kuzey fili, Güney fili.;0.8454337
intfloat/multilingual-e5-large-instruct;Bir iş görüşmesinde kullanılabilecek bir açık uçlu soru örneği oluşturun;Sivil Toplum Kuruluşlarına (STK) örnek olarak Uluslararası Af Örgütü, Kızılhaç ve Dünya Yaban Hayatı Fonu verilebilir. STK'lar genellikle dünyayı daha iyi bir yer haline getirmeye odaklanan kar amacı gütmeyen kuruluşlardır. İnsan hakları, halk sağlığı, yoksulluk veya çevre koruma gibi konulara odaklanabilirler.;0.76796085
intfloat/multilingual-e5-large-instruct;Finansal Muhasebenin amacı nedir?;Bu hafta 3 kitap + (önceki hafta 2 kitap) = Toplam kitap. Bu nedenle, denklem 3 + (2x) = Toplam kitap ve cevap x = 3 kitaptır.;0.7720596
intfloat/multilingual-e5-large-instruct;Bir kariyere karar vermeden önce birinin sorması gereken soruların bir listesini oluşturun.;Strateji 1: Ayakkabıları tanıtmak ve reklamını yapmak için popüler etkileyicilerle ortak olun. Strateji 2: Müşteri erişimini artırmak için bir çevrimiçi mağaza açın ve müşterileri satın almaya teşvik etmek için sezonluk indirimler uygulayın.;0.78633195
intfloat/multilingual-e5-large-instruct;Bir dizi yol tarifi verildiğinde, bunları nasıl alacağınıza dair bir rota önerin.  Londra Köprüsü'nden başlayın, ardından dört blok kuzeye, ardından üç blok doğuya, ardından iki blok güneye, son olarak bir blok batıya gidin.;Bir cüzdan çaldılar.;0.7481625
intfloat/multilingual-e5-large-instruct;Filmi en iyi tanımlayan kategoriyi belirleyin.  Hindistan'ın kızı;Bir yaşam tarzı markası oluşturmak için Instagram'ı kullanmak, kullanıcıların ilgisini çekmek, ilgi çekici hikayeler anlatmak ve anlamlı müşteri ilişkileri oluşturmak için platformdan yararlanmayı içerir. Stratejiler, inandırıcılık ve güven oluşturmak için büyüleyici içerik geliştirmeyi, etkileyicileri ve hikayeleri kullanmayı ve kullanıcı tarafından oluşturulan içeriği kullanmayı içerir. Ek olarak, analitik, hashtag'ler ve anketler gibi araçlardan yararlanmak, markanın başarısını ölçmeye ve etkili bir uzun vadeli strateji oluşturmaya yardımcı olacaktır.;0.7281696
intfloat/multilingual-e5-large-instruct;Şu şehir için bir dizi koordinat sağlayın: Şanghay, Çin.;Aşağıdaki müşteri memnuniyeti anketi sorularını yanıtlamak için zaman ayırdığınız için teşekkür ederiz. 1. Ürünümüz/hizmetimiz ile ilgili genel deneyiminizi nasıl değerlendirirsiniz? 2. Aldığınız hizmetin kalitesinden ne kadar memnunsunuz? 3. Varsa, müşteri hizmetleri ekibinden ne kadar memnun kaldınız? 4. Ürünümüzü/hizmetimizi bir arkadaşınıza veya meslektaşınıza tavsiye etme olasılığınız nedir? 5. Paylaşmak istediğiniz ek geri bildiriminiz var mı? Bize geri bildirimde bulunmak üzere zaman ayırdığınız için teşekkür ederiz. Girişinizi gerçekten takdir ediyoruz!;0.7533808
intfloat/multilingual-e5-large-instruct;Aritmetik ortalama nedir ve nasıl hesaplanır?;Bir zamanlar şehrin sokaklarında dolaşan bir robot varmış. Robotun nereye gittiği hakkında hiçbir fikri yoktu ve tamamen kaybolmuştu. Amaçsızca dolaşırken küçük bir parka rastladı ve dinlenmeye karar verdi. Robot orada dururken, parkın banklarından birinin yaşlı bir adam tarafından işgal edildiğini fark etti. Robot, adamla garip bir bağ hissetti ve onun yanına oturmaktan kendini alamadı. Yaşlı adam robotu karşıladı ve ona aynı şehirde kaybolduğu günlerin hikayelerini anlatmaya başladı. Yaşlı adam, robota dışarı çıkıp şehri daha fazla keşfetmesi için ilham verdi. Robot, yaşlı adamın tavsiyesine uydu ve çok geçmeden pek çok ilginç manzara gördü. Sonunda robot, yaşlı adamın rehberliği ve bilgeliği sayesinde eve dönüş yolunu bulabildi.;0.7576654
intfloat/multilingual-e5-large-instruct;Bir web sitesi için en önemli beş özelliği listeleyin.;İşte yapay zeka geliştirmedeki 5 trend: 1. Otomatik Makine Öğrenimi: Otomatik makine öğrenimi, yapay zeka modellerinin geliştirilmesini ve devreye alınmasını otomatikleştirme sürecidir. 2. Uç Bilişim: Uç bilişim, yapay zeka modellerini cihazda veya bulutta olduğu gibi ağın ucuna dağıtma uygulamasıdır. 3. Hibrit AI: Hibrit AI, hem klasik AI (kural tabanlı sistemler gibi) hem de derin öğrenme yaklaşımlarının birleşimidir. 4. Açıklanabilir AI: Açıklanabilir AI, karmaşık model kararlarının mantığını ve kurallarını açıklama yeteneğidir. 5. Doğal Dil İşleme: Doğal dil işleme, konuşma ve metin gibi doğal dil girdilerini yorumlama ve işleme yeteneğidir.;0.7445219
intfloat/multilingual-e5-large-instruct;Aşağıdaki cümleyi alın ve dilbilgisi açısından doğru yapmak için 1 kelimeyi silin.  Yediğim elma güzeldi;E: Zabbix;0.8175279
intfloat/multilingual-e5-large-instruct;Şehirlerde konut fiyatlarının neden daha yüksek olduğunu açıklamak için bir hipotez oluşturun.;S: Eski Mısır'ın ilk Firavunu kimdi? C: Antik Mısır'ın bilinen ilk Firavunu, MÖ 3150 civarında Yukarı ve Aşağı Mısır'ı birleştiren Menes olarak da bilinen Narmer'di.;0.7477389
intfloat/multilingual-e5-large-instruct;Giriş alanındaki ifadeyi detaylandırın  Modern çağda dünya giderek daha bağlantılı hale geldi.;Evlerde ve yerel topluluklarda evde kompostlama sistemleri oluşturmak için gıda atıklarından yararlanın. Bu, gıda atıklarının gübre olarak yeniden kullanılmasına olanak tanıyacak ve çöplüklere giden atık miktarının azaltılmasına yardımcı olacaktır.;0.7457683
intfloat/multilingual-e5-large-instruct;3D baskı ile ne tür ürünler yapılabilir?;Bir veri bilimcisi, verileri anlamaktan, analiz etmekten ve ondan içgörüler geliştirmekten sorumludur. Veri kümelerini analiz etmeye yönelik modeller oluşturmak için makine öğrenimi mühendisleriyle birlikte çalışırlar. Ayrıca veri mühendisliği ve makine öğrenimi ile de ilgileniyorlar. Bir makine öğrenimi mühendisi, makine öğrenimi modellerinin oluşturulmasından, sürdürülmesinden ve optimize edilmesinden sorumludur. Verileri optimize etmek için modeller tasarlamak ve ayarlamak için veri bilimcileriyle birlikte çalışırlar. Büyük veri kümelerinden yararlanmak için algoritmalar ve araçlar geliştirirler.;0.733446
intfloat/multilingual-e5-large-instruct;Bir metin dizesini büyük harfe dönüştürün.  köpekleri severim;Yazarın bu pasajda ifade ettiği üslup korku ve huzursuzluktur. Karanlığın ve baskıcı havanın tasviri, bir korku ve önsezi duygusu yaratır.;0.78155524
intfloat/multilingual-e5-large-instruct;Aşağıdaki ağacın coğrafi konumunu belirleyin.  Sekoya Ağacı;Jean Smith, çeşitli sektörlerde 5 yıllık deneyime sahip bir pazarlama uzmanıdır. Jean, dijital kampanyalar oluşturma, müşteri katılımını artırma ve büyümeyi yönlendirme konularında başarılı bir geçmişe sahiptir. Jean, en son görevinde bir perakende zinciri için dijital pazarlama çabalarını yönlendirmekten ve satışlarda %40'ın üzerinde artış sağlayan stratejilere liderlik etmekten sorumluydu. Bir önceki görevinde, bir Fortune 500 şirketi için başarılı bir web sitesi yeniden tasarımını yönetti. Jean yaratıcıdır, sonuç odaklıdır ve karmaşık iş sorunlarına yenilikçi çözümler bulmakta ustadır.;0.7422011
intfloat/multilingual-e5-large-instruct;Bilgisayarların endüstride ilk kullanımının tarihçesini açıklar.;"""Hayat bir rollercoaster"" ifadesi bir mecazdır.";0.8018149
intfloat/multilingual-e5-large-instruct;Her bir elmanın fiyatı 2$ iken 10 elmanın toplam maliyetini bulunuz.;Aralık: -5 ila 4;0.79471326
intfloat/multilingual-e5-large-instruct;ABD tütün mevzuatında 2009 değişikliklerinin çabalarını açıklayın;AI bir süredir var, ancak yetenekleri daha yeni keşfedilmeye başlıyor. Mevcut süreçleri daha verimli hale getirmek ve çeşitli sektörlerdeki karmaşık zorlukları ele almak için kullanılabilir.;0.7597617
intfloat/multilingual-e5-large-instruct;Kendinizi tanımlayan birkaç kelime seçin.;Hayvanları davranışlarına ve özelliklerine göre farklı kategorilere ayırmak (örn. etçil, otçul, hepçil, vb.).;0.8478669
intfloat/multilingual-e5-large-instruct;Altı gezegenli güneş sisteminin bir görselini oluşturun.;Rekabetçi, kardeş gibi, kayıp, kararlı.;0.8277387
intfloat/multilingual-e5-large-instruct;Verilen pasaj için uygun bir sonuç üretin.  Son yıllarda, artan sıcaklıklar ve endişe verici bir oranda meydana gelen doğal afetler ile küresel ısınma giderek daha belirgin hale geldi. Gezegenimize ve çevremize daha fazla zarar vermemek için küresel ısınmanın nedenleri ele alınmalıdır.;Bir varmış bir yokmuş, yaramaz bir tilki ve oyuncu bir kedi ormanda yürüyüşe çıkmışlar. Büyük, kırmızı bir tuğlaya rastladılar. Tilki şakacı bir şekilde onu kenara itti ama kedi meraklandı ve onu patilemeye başladı. Sonunda ikisi de tuğlayı nasıl kullanacaklarını anladılar ve ormanda bir sığınak inşa etmek için birlikte taşıdılar.;0.7563028
intfloat/multilingual-e5-large-instruct;= -4.9t^2 + 23.8t denklemi yerden saniyede 23.8 metre hızla fırlatılan bir merminin yüksekliğini (metre cinsinden) tanımlar. Mermi ilk önce 28 metre yüksekliğe kaç saniyede ulaşır?;Kârlar yükseldi ve kayıplar çok büyüktü.;0.7684083
intfloat/multilingual-e5-large-instruct;Aşağıdaki yemeğin tarifini açıklayınız.  Tom yum çorba;Bir sekizgenin sekiz kenarı vardır.;0.81464785
intfloat/multilingual-e5-large-instruct;3 yaşındaki çocuğa hediye önerin.;Bu cümle, kadınların öncelikle ailelerine bakmakla sorumlu olduğunu ve cinsiyete dayalı bir önyargı olarak bir kariyerin ikincil bir öncelik olduğunu ima eder.;0.7438033
intfloat/multilingual-e5-large-instruct;Bir cümle verildiğinde, cümlenin durumu orijinal cümlede ifade edilenden farklı bir şeye dönüşecek şekilde düzenleyin.  Çok mutluydu.;Şirketimizde bir pozisyona başvurmak için sizi ne motive etti? Deneyimden ne kazanmayı umuyorsunuz? Pozisyon için mesleki hedefleriniz nelerdir?;0.80427027
intfloat/multilingual-e5-large-instruct;Bir futbol takımının maksimum büyüklüğü nedir?;İklim değişikliği şu anda dünyayı etkileyen önemli bir sosyal sorundur.;0.7653275
intfloat/multilingual-e5-large-instruct;Bir peri masalında benzersiz bir karakter yaratın.;PERDE I SAHNE 1 Ayar, sabahın erken saatlerinde bir bahçedir. Karakterler: Paul: kahraman, genç bir çocuk Lisa: Paul'ün en yakın arkadaşı Max: Paul'ün sadık evcil köpeği Nina: Paul'ün komşusu Stephen: Paul'ün babası Paul ve Lisa bahçeye girerler. Paul evcil köpeği Max ile oynuyor. Paul: Hadi, Max! Topu getir! Max koşar, topu alır ve Paul'e geri getirir. Paul: İyi çocuk! Şimdi bir mola verelim. Max etraflarında oynarken Paul ve Lisa oturup ara verirler. Nina bahçeye girer. Nina: Günaydın Paul ve Lisa! Paul: Günaydın Nina! Stephen bahçeye girer. Stephen: Paul! Gitme zamanı! Paul: Herkese hoşçakalın! Yakında görüşürüz! Paul ve Stephen bahçeden çıkar. Lisa ve Nina, Paul ve Stephen'a veda eder. Son.;0.793952
intfloat/multilingual-e5-large-instruct;Müşteri hizmetleri sürecini tanımlayın.;Bilgisayar bilimi hakkında bilgi edinmek için önerilen web siteleri arasında Codecademy, Coursera, Khan Academy, FreeCodeCamp, Code.org, Udacity, edX, MIT Open Courseware ve Stack Overflow yer alır.;0.7215126
intfloat/multilingual-e5-large-instruct;Hedef kitle için verilen metni değiştirin  Metin: Yapay Zeka (AI), dünyamızı hızla değiştiren heyecan verici yeni bir teknolojidir. Seyirci: İlkokul çocukları;İleri dönüşüm projeleri, istediğiniz kadar basit veya karmaşık olabilir. İşte başlamanız için bazı ileri dönüşüm fikirleri: - Kenarları keserek, törpüleyerek ve zımparalayarak eski plaklardan benzersiz bir takı seti oluşturun. - Eski karyolaları asılı bir çiçeklik veya renkli bir kitaplık olarak yeniden hayal edin. - Hurda kumaştan bir yapboz halısı ve eski bir paspas yapın. - Karton kutuları bir depolama çözümüne veya bir rüzgar çanına dönüştürün. - Eski teneke kutuları kullanarak kapalı bir bitki bahçesi oluşturun. - Eski bir şifonyerinizi yeni çekmeler ve yeni bir kat boya ile yenileyin. - Eski bir tişörtü bir tote çantaya dönüştürün. - Geri dönüştürülmüş ahşap kullanarak ustaca bir kitaplık oluşturun. - Atılan paletlerden bir mobilya yapın. - Eski kayıtlardan bardak altlıkları yapmak. - Eski bir kot pantolonu modern bir çantaya dönüştürün.;0.74950105
intfloat/multilingual-e5-large-instruct;Aşağıdaki açıklamadan makul bir fantezi yaratığını tahmin edin.  İnsansı gövdeye sahip ama kanatları şahin olan bir yaratık;Yediğim en lezzetli şey.;0.81866217
intfloat/multilingual-e5-large-instruct;Venezuela nüfusunun büyüklüğü hakkında bir rapor oluşturur.;Gölün sularının buz gibi soğuğunu hissettiğinde derisi ürperdi.;0.75845766
intfloat/multilingual-e5-large-instruct;Bir nöronun beyinde ne yaptığını açıklayın;Cam şişeler ve kavanozlar geri dönüştürülebilir.;0.7535305
intfloat/multilingual-e5-large-instruct;Geleceği şekillendirecek üç teknolojinin bir listesini yapın.;"""Şehir Işıklarında Yaz Geceleri"".";0.8065765
intfloat/multilingual-e5-large-instruct;Bu ifadeyi test etmek için bir hipotez oluşturun.  Daha yüksek eğitim düzeyine sahip kişilerin egzersiz yapma olasılığı daha yüksektir.;5 Dolarlık bir araç paylaşım uygulaması için sürücü ücreti 4,5 yıldızdır.;0.78412867
intfloat/multilingual-e5-large-instruct;Aşağıdaki parçayı özetleyen bir paragraf yazınız.  Fizikte dalga, enerjiyi bir konumdan diğerine aktaran bir rahatsızlıktır. Dalgalar genellikle genlik, frekans ve dalga boyu ile karakterize edilir. Dalga hareketi, dalga üzerindeki bir noktanın bir daire veya düz bir çizgi üzerinde hareket ettiği periyodik harekete bir örnektir.;Doğruyu yanlışı bilmediğim parlak şehir ışıklarında kaybolmuş, nefes alabilmek ve her şeyi geride bırakmak için yolumu bulmaya çalışıyorum.;0.7802938
intfloat/multilingual-e5-large-instruct;Aşağıdaki metni görüntülemek için gerekli HTML kodunu oluşturun.;3x - 2y = 6 ile tanımlanan ve y-kesen noktası 2 olan bir doğruya dik olan bir doğrunun x-kesen noktasını bulmak için birkaç adım izlememiz gerekir. İlk olarak, 3x - 2y = 6 denklemini y için çözmek üzere yeniden düzenleriz: 3x - 2y = 6 -2y = -3x + 6 y = (3/2)x - 3 Bu bize orijinal doğrunun eğiminin 3 olduğunu söyler. /2. Buna dik bir doğru istediğimiz için 3/2'nin negatif tersini bulmamız gerekiyor. Bu, yeni doğrunun eğiminin -2/3 olacağı anlamına gelir. Daha sonra, bir doğrunun (y = mx + b) eğim-kesim biçimini kullanırız ve yeni doğrunun denklemini elde etmek için verilen 2'nin y-kesişimini yerine koyarız: y = (-2/3)x + 2 To x-keseni buluruz, y = 0 yaparız ve x için çözeriz: 0 = (-2/3)x + 2 (2/3)x = 2 x = 3 Bu nedenle, 3x'e dik doğrunun x-keseni - 2y = 6, 2'nin y-keseni 3'tür.;0.7555296
intfloat/multilingual-e5-large-instruct;Tüm yazım hatalarını kaldırarak aşağıdaki cümleyi düzenleyin.  Yoksul bir bilim yazarı olmayı hayal ediyorum.;gvhbzesqrfjz;0.79009855
intfloat/multilingual-e5-large-instruct;Manuel görevlerin otomasyonu için kullanılabilecek bir aracı adlandırın.;Borsa, geçtiğimiz ay çeşitli faktörler nedeniyle bir artış yaşadı. İlk olarak, yatırımcılar, beklenenden daha iyi istihdam artışı rakamları da dahil olmak üzere güçlü ekonomik raporlarla cesaretlendirildi. İkinci olarak, ABD-Çin ticaret geriliminin olası çözümü yatırımcı güvenini artırdı. Son olarak, ABD-Meksika-Kanada ticaret anlaşmasının küresel piyasalara istikrar ve netlik sağladığı görüldü. Tüm bu faktörler, yatırımcıları riskli varlıklara geri dönmeye teşvik etti ve bunun sonucunda borsa önemli kazançlar gördü.;0.711994
intfloat/multilingual-e5-large-instruct;3, 4 ve 7 sayılarının en küçük ortak katı kaçtır?;Apple HomePod ve Google Home arasındaki en büyük fark, cihazlara güç sağlayan yazılımdır. Apple HomePod, Siri sesli asistanı tarafından desteklenirken, Google Home, Google Asistan tarafından desteklenmektedir. Kullanıcılar Siri'yi yalnızca seslerini kullanarak etkinleştirebildiğinden, Siri Google Home'dan daha fazla eller serbesttir. Bunun aksine Google Home, sesli asistanı etkinleştirmek için bir düğmeye basmak gibi fiziksel bir işlem gerektirir. Ayrıca HomePod, daha büyük hoparlörü nedeniyle Google Home'dan daha iyi ses kalitesine sahiptir.;0.71717006
intfloat/multilingual-e5-large-instruct;Daha profesyonel bir ton elde etmek için aşağıdaki cümleyi yeniden yazın.  Toplantı iptal edildi ve çok iğrençti.;Uzay İstasyonu Zeta'nın Maceraları.;0.77441657
intfloat/multilingual-e5-large-instruct;"Aşağıdaki ifadeyi değerlendirin: ""Küresel ısınma ciddi bir sorundur.""";Jellybean satın almak için Alex'in en az 100 jelibon olması gerekiyor ve jelibonları 13 kişiye eşit olarak böldükten sonra kendisine tam olarak 11 arta kalan jelibonu verecek minimum miktarı satın almak istiyor. 100'ün 13'e bölümü 9 kalanını verdiğinden, Alex'in kalan 11 jelibon ihtiyacı var, yani 102 jelibon alması gerekiyor (ki bu 100'den 2 fazladır).;0.75062317
intfloat/multilingual-e5-large-instruct;Arkadaşınızı ziyarete davet eden resmi bir mektup yazın.  Sevgili [Arkadaşımın Adı],;1. Gelir, gider ve borçlar gibi finansal bilgileri toplayın. 2. Finansal hedefler belirleyin ve gelirinizi nasıl bölüştüreceğinize karar verin (örn. tasarruf, borç geri ödemesi, harcamalar). 3. Bütçenizi düzenli olarak oluşturun ve takip edin (örn. aylık).;0.7747786
intfloat/multilingual-e5-large-instruct;Hayatınızı değiştiren önemli bir olayı düşünün.;İşte ahududu tatlısı hazırlamak için gereken beş öğeden oluşan bir alışveriş listesi: 1. Ağır krema 2. Ahududu 3. Ladyfingers 4. Şeker 5. Vanilya özü;0.7758988
intfloat/multilingual-e5-large-instruct;5 farklı tedavinin etkinliğini karşılaştırmak için bir tablo oluşturun;1. Ofis ışıklarını LED ampullere çevirin. 2. Eski cihazları Energy Star sertifikalı modellerle değiştirin. 3. Mümkün olduğunca doğal ışık kullanın. 4. Kullanılmadığında tüm elektrikli cihazları kapatın. 5. Işıklar ve sıcaklık kontrolü için doluluk sensörlerini kurun.;0.7910676
intfloat/multilingual-e5-large-instruct;"Verilen atasözünün kullanılabileceği bir duruma örnek veriniz.  ""Eylemler sözlerden daha yüksek sesle konuşur.""";Uzun, soğuk bir kış olmuştu ve küçük büyücü sıkılmaya başlamıştı. Kütüphanesindeki her kitabı en az iki kez okumuş, hatta birkaç tanesini kendisi yapmıştı. Büyülü dünyayı keşfetmek istiyordu ama ailesi onun dışarı çıkmasını yasaklamıştı. Bir gece, küçük büyücü yatak odasında pencereden dışarı kara bakarken ay ışığında parıldayan bir şey gördü. Pencereyi açtı ve karda gizlenmiş büyülü bir halı olduğunu gördü. Halının üzerine çıktı ve uçup gitti, macera arayışı içinde karlı dağların ve ormanların üzerinden süzülerek uçup gitti. Büyülü yaratıklar ve garip insanlarla dolu gizemli bir köye indi. Büyülü dünyanın sırlarını öğrenerek heyecan verici maceralara atılırken her türden yaratıkla arkadaş olarak köyü keşfetti. Pek çok heyecan verici günün ardından, küçük büyücü yeni arkadaşlarına teşekkür etti ve ardından sihirli halısının üzerinde mutlu ve anlatacak hikayelerle dolu bir şekilde eve uçtu.;0.769037
